"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj008",1,1,"ink_naming_incong","green","green",1301,"213.20.233.31",-43.2952738646418,-29.3489123415202,"Chrome","Windows","723x65","Desktop","Agent7779",8389,0,0
"subj008",1,2,"word_reading_cong","blue","blue",591,"194.12.56.158",-34.6662003127858,-117.792651001364,"Chrome","Windows","837x167","Desktop","Agent6639",1434,0,0
"subj008",1,3,"ink_naming_cong","red","red",1123,"192.100.41.19",30.7382472418249,-61.7219941411167,"Chrome","Windows","158x162","Desktop","Agent2609",3804,0,0
"subj008",1,4,"ink_naming_cong","yellow","yellow",778,"221.100.92.58",8.04688319563866,-134.852875722572,"Chrome","Windows","568x114","Desktop","Agent3479",3408,0,0
"subj008",1,5,"ink_naming_cong","yellow","yellow",914,"194.243.236.151",7.84799295477569,-8.85451736859977,"Chrome","Windows","590x609","Desktop","Agent2622",4884,0,0
"subj008",1,6,"word_reading_incong","red","red",816,"211.179.156.49",-72.4374984065071,-75.6343735009432,"Chrome","Windows","164x403","Desktop","Agent9496",1818,0,0
"subj008",1,7,"word_reading_incong","green","green",849,"210.45.179.157",-21.5001674043015,-133.899953830987,"Chrome","Windows","85x79","Desktop","Agent2348",7577,0,0
"subj008",1,8,"word_reading_incong","green","green",748,"223.199.132.3",-9.39696497283876,-9.35146615840495,"Chrome","Windows","1004x24","Desktop","Agent6582",9687,0,0
"subj008",1,9,"word_reading_cong","blue","blue",575,"198.176.154.105",88.4382180869579,-170.529929576442,"Chrome","Windows","341x293","Desktop","Agent1302",8874,0,0
"subj008",1,10,"word_reading_incong","yellow","yellow",726,"218.151.226.164",69.8723576730117,-43.0458984989673,"Chrome","Windows","261x697","Desktop","Agent9636",379,0,0
"subj008",1,11,"word_reading_cong","blue","blue",812,"206.223.99.126",-79.5536690717563,97.685669856146,"Chrome","Windows","840x311","Desktop","Agent2935",4489,0,0
"subj008",1,12,"word_reading_incong","red","red",2108,"194.96.75.222",-45.0774987833574,157.564095575362,"Chrome","Windows","700x172","Desktop","Agent4445",9000,0,0
"subj008",1,13,"ink_naming_cong","yellow","yellow",848,"218.3.172.176",29.8832408152521,-42.297500828281,"Chrome","Windows","664x505","Desktop","Agent1891",1630,0,0
"subj008",1,14,"word_reading_cong","green","green",881,"198.44.68.9",11.4627846283838,123.578877076507,"Chrome","Windows","40x311","Desktop","Agent3459",6055,0,0
"subj008",1,15,"word_reading_cong","yellow","yellow",733,"197.244.147.85",80.2199398074299,-98.430459536612,"Chrome","Windows","631x633","Desktop","Agent9785",7191,0,0
