"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj030",1,1,"word_reading_cong","green","green",591,"207.101.244.248",70.6954172300175,-111.486777355894,"Chrome","Windows","531x377","Desktop","Agent5160",1746,0,0
"subj030",1,2,"ink_naming_incong","green","green",1101,"213.239.237.253",-46.22643311508,-58.9458096586168,"Chrome","Windows","615x86","Desktop","Agent3056",1537,0,0
"subj030",1,3,"word_reading_cong","blue","blue",800,"198.158.185.62",-17.3346435371786,127.884204592556,"Chrome","Windows","325x760","Desktop","Agent4371",539,0,0
"subj030",1,4,"ink_naming_cong","red","red",945,"193.65.28.189",43.7098527699709,49.4482433237135,"Chrome","Windows","464x298","Desktop","Agent5678",8468,0,0
"subj030",1,5,"word_reading_cong","green",NA,NA,"198.226.255.196",1.19082901161164,-1.39192976988852,"Chrome","Windows","573x464","Desktop","Agent1011",322,0,0
"subj030",1,6,"ink_naming_cong","yellow","yellow",868,"199.252.146.171",68.0972742615268,59.2792010307312,"Chrome","Windows","1024x61","Desktop","Agent1863",9634,0,0
"subj030",1,7,"ink_naming_cong","blue","blue",837,"193.75.91.23",-83.2703942433,-60.6889340467751,"Chrome","Windows","172x350","Desktop","Agent5936",8577,0,0
"subj030",1,8,"word_reading_cong","blue","blue",667,"222.243.41.43",-11.1002335790545,100.654781442136,"Chrome","Windows","832x356","Desktop","Agent9408",6475,0,0
"subj030",1,9,"ink_naming_incong","red","red",1107,"217.39.255.83",-38.2843773951754,42.8785826358944,"Chrome","Windows","590x387","Desktop","Agent6164",5673,0,0
"subj030",1,10,"ink_naming_cong","blue","blue",937,"193.170.79.24",81.4551488589495,-149.286182736978,"Chrome","Windows","63x99","Desktop","Agent7953",4563,0,0
"subj030",1,11,"ink_naming_cong","red","red",1230,"211.185.7.216",52.0055824751034,-123.687908956781,"Chrome","Windows","672x570","Desktop","Agent2944",764,0,0
"subj030",1,12,"ink_naming_incong","yellow","yellow",1073,"216.211.105.115",49.1938908258453,-65.5635884217918,"Chrome","Windows","936x283","Desktop","Agent8992",3470,0,0
"subj030",1,13,"word_reading_incong","green","green",801,"214.86.121.22",64.4312242744491,-159.672942599282,"Chrome","Windows","359x108","Desktop","Agent3144",1399,0,0
"subj030",1,14,"word_reading_cong","yellow","yellow",873,"199.46.119.192",-69.9792286986485,43.8203042093664,"Chrome","Windows","1x453","Desktop","Agent1065",9302,0,0
"subj030",1,15,"ink_naming_incong","blue","blue",1293,"220.34.4.146",-20.1098217302933,124.762442959473,"Chrome","Windows","227x323","Desktop","Agent7629",6180,0,0
"subj030",1,16,"word_reading_incong","green","green",772,"207.108.141.157",11.6287697805092,-30.6068282201886,"Chrome","Windows","825x248","Desktop","Agent9920",2398,0,0
"subj030",1,17,"word_reading_cong","yellow","yellow",780,"217.64.47.239",87.3250487074256,-59.5827659033239,"Chrome","Windows","167x669","Desktop","Agent2131",3852,0,0
"subj030",1,18,"word_reading_incong","yellow","yellow",629,"196.182.248.157",14.8764810338616,165.171556407586,"Chrome","Windows","275x672","Desktop","Agent6209",8154,0,0
"subj030",1,19,"word_reading_incong","blue","blue",631,"202.136.229.65",63.9845291012898,41.7037356086075,"Chrome","Windows","557x48","Desktop","Agent8295",3103,0,0
"subj030",1,20,"word_reading_cong","blue","blue",2921,"207.168.34.186",9.61512437090278,-104.216491067782,"Chrome","Windows","594x269","Desktop","Agent5171",2803,0,0
